127.0.0.1 - - [02/Sep/2023:12:30:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:30:13 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:30:13 +0530] "GET /AJAX_REST_API/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:30:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:30:29 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:32:39 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:06 +0530] "POST /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:12 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:38 +0530] "POST /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:44 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:52 +0530] "POST /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:33:58 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:34:02 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:42:51 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:45:57 +0530] "POST /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:48:07 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:49:12 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:49:16 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:49:24 +0530] "POST /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:51:31 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:51:40 +0530] "POST /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:52:07 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:52:14 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:16 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:31 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:31 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:32 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:32 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:32 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:12:53:46 +0530] "GET /AJAX_REST_API/NewFile.html HTTP/1.1" 200 2494
